Price,Close,High,Low,Open,Volume
Ticker,YFI-USD,YFI-USD,YFI-USD,YFI-USD,YFI-USD
Date,,,,,
2022-02-22,20638.2421875,20805.896484375,19281.763671875,19734.328125,139337351
2022-02-23,20391.66796875,21196.701171875,20265.306640625,20637.9375,107334763
2022-02-24,19375.408203125,20538.203125,17217.298828125,20391.53125,221414912
2022-02-25,20155.703125,20313.224609375,18996.6171875,19379.755859375,105292307
2022-02-26,20874.69921875,21363.56640625,20155.130859375,20155.130859375,98553407
2022-02-27,19419.982421875,20988.833984375,19233.71875,20872.736328125,113280779
2022-02-28,21531.513671875,21531.92578125,19170.314453125,19415.77734375,122440182
2022-03-01,21667.529296875,22254.103515625,21130.724609375,21531.248046875,132357496
2022-03-02,22318.548828125,22418.1171875,21181.251953125,21667.796875,125524349
2022-03-03,21673.841796875,22553.423828125,20997.427734375,22320.474609375,167224014
2022-03-04,19870.08984375,21893.7734375,19711.142578125,21681.515625,117997946
2022-03-05,20272.57421875,20423.8203125,19531.470703125,19873.8671875,82735065
2022-03-06,18225.23046875,20302.302734375,17569.39453125,20274.482421875,387486839
2022-03-07,18411.951171875,19768.533203125,17956.640625,18229.150390625,216463014
2022-03-08,19280.921875,21153.46484375,18352.873046875,18410.8828125,271333207
2022-03-09,20351.515625,20490.951171875,19288.630859375,19288.630859375,176273454
2022-03-10,19046.423828125,20372.2578125,18805.369140625,20352.763671875,131873861
2022-03-11,18520.53515625,19285.171875,18346.068359375,19047.087890625,120027545
2022-03-12,18383.525390625,18848.470703125,18377.990234375,18521.515625,90726513
2022-03-13,18067.77734375,18690.76171875,17922.6875,18381.5859375,78045512
2022-03-14,18533.63671875,18714.150390625,17965.29296875,18067.087890625,79955353
2022-03-15,18514.41015625,18712.41796875,17936.146484375,18533.978515625,104349233
2022-03-16,19203.94140625,19204.484375,18306.80859375,18514.14453125,117252545
2022-03-17,19426.453125,19683.60546875,18935.76953125,19202.654296875,99422174
2022-03-18,20567.10546875,20734.775390625,19078.314453125,19425.48046875,117579624
2022-03-19,20750.416015625,20951.8671875,20335.556640625,20566.482421875,106710940
2022-03-20,19939.44921875,20794.173828125,19651.638671875,20752.171875,91887437
2022-03-21,20342.92578125,20530.97265625,19744.091796875,19938.607421875,92446771
2022-03-22,20337.55078125,20956.197265625,20039.580078125,20343.18359375,117726528
2022-03-23,20469.859375,20491.83984375,19984.560546875,20334.728515625,81138556
2022-03-24,21203.833984375,21322.923828125,20275.705078125,20465.931640625,116148024
2022-03-25,20604.16796875,21647.115234375,20471.25,21206.509765625,112164152
2022-03-26,21148.412109375,21196.31640625,20476.60546875,20604.005859375,67580218
2022-03-27,22239.365234375,22239.365234375,20766.150390625,21148.61328125,80274486
2022-03-28,22258.568359375,23931.427734375,22170.6953125,22239.291015625,232014213
2022-03-29,23372.3828125,23770.6796875,22127.94140625,22252.953125,157715668
