Price,Close,High,Low,Open,Volume
Ticker,OMG-USD,OMG-USD,OMG-USD,OMG-USD,OMG-USD
Date,,,,,
2022-02-03,4.698300838470459,4.77783203125,4.537145137786865,4.634819030761719,174988968
2022-02-04,4.983479976654053,4.993721961975098,4.618024826049805,4.6979827880859375,199768366
2022-02-05,5.127867221832275,5.218993186950684,4.964713096618652,4.982838153839111,197466429
2022-02-06,5.170589923858643,5.234994888305664,4.99240779876709,5.127820014953613,174906258
2022-02-07,5.405392169952393,5.428839206695557,5.058959007263184,5.170351028442383,271518282
2022-02-08,5.213457107543945,5.603590965270996,5.078498840332031,5.406209945678711,358973895
2022-02-09,5.36126184463501,5.428491115570068,5.193593978881836,5.21156120300293,237775785
2022-02-10,5.097240924835205,5.461356163024902,5.08624792098999,5.3613080978393555,327357440
2022-02-11,4.709260940551758,5.172539234161377,4.66165018081665,5.096096038818359,304814251
2022-02-12,4.774796009063721,4.871399879455566,4.5845208168029785,4.7095208168029785,186210777
2022-02-13,4.677616119384766,4.81858491897583,4.531178951263428,4.774546146392822,166190428
2022-02-14,4.613603115081787,4.683529853820801,4.492300987243652,4.674317836761475,195156710
2022-02-15,4.949108123779297,4.961523056030273,4.613154888153076,4.613913059234619,203628347
2022-02-16,4.82224702835083,4.9530158042907715,4.699447154998779,4.950480937957764,152278583
2022-02-17,4.365604877471924,4.868523120880127,4.3421759605407715,4.821124076843262,179608967
2022-02-18,4.335174083709717,4.484279155731201,4.29506778717041,4.367237091064453,151402434
2022-02-19,4.306355953216553,4.482174873352051,4.184657096862793,4.334214210510254,116235738
2022-02-20,4.095447063446045,4.305739879608154,4.0271711349487305,4.305739879608154,142952238
2022-02-21,3.778249979019165,4.281932830810547,3.773922920227051,4.094645977020264,186894443
2022-02-22,3.984412908554077,3.989626884460449,3.6749229431152344,3.7777130603790283,174458346
2022-02-23,3.884079933166504,4.1634979248046875,3.8712170124053955,3.983889102935791,191040200
2022-02-24,3.7482290267944336,3.8876149654388428,3.347080945968628,3.8813419342041016,262724736
2022-02-25,3.950134038925171,3.995558977127075,3.6981630325317383,3.7487199306488037,151629213
2022-02-26,4.051876068115234,4.1376261711120605,3.950423002243042,3.950423002243042,102813498
2022-02-27,3.8260889053344727,4.083795070648193,3.7825100421905518,4.052124977111816,127329926
2022-02-28,4.223021984100342,4.223021984100342,3.7793490886688232,3.8253800868988037,139260764
2022-03-01,4.282454967498779,4.392873764038086,4.152337074279785,4.2223100662231445,151978473
2022-03-02,4.423342227935791,4.549779891967773,4.187930107116699,4.282070159912109,267638499
2022-03-03,4.270638942718506,4.426921844482422,4.189971923828125,4.423786163330078,131388938
2022-03-04,3.9658761024475098,4.270742893218994,3.9254748821258545,4.270742893218994,125459179
2022-03-05,4.029600143432617,4.055458068847656,3.850656032562256,3.966981887817383,75219465
2022-03-06,3.7861380577087402,4.044414043426514,3.7837560176849365,4.029757022857666,79051783
2022-03-07,3.6759300231933594,3.8954501152038574,3.6010210514068604,3.7865068912506104,123425950
2022-03-08,3.8016750812530518,3.8585119247436523,3.6563920974731445,3.675858974456787,97697053
